order_id,order_date,ship_date,customer_id,product_id,region,sales,quantity,discount,profit
ORD-00001,2022-03-15,2022-03-19,CUST-0075,PROD-0018,North,860.33,3,0,103.24
ORD-00002,2024-01-03,2024-01-06,CUST-0088,PROD-0008,East,3224.12,6,0.1,741.55
ORD-00003,2022-11-13,2022-11-16,CUST-0111,PROD-0006,West,3275.27,3,0,1048.09
ORD-00004,2024-04-23,2024-04-30,CUST-0111,PROD-0024,West,158.84,5,0,31.77
ORD-00005,2024-08-21,2024-08-24,CUST-0026,PROD-0027,West,128.23,6,0,25.65
ORD-00006,2023-01-31,2023-02-05,CUST-0043,PROD-0009,West,1324.58,5,0.1,304.65
ORD-00007,2023-11-10,2023-11-12,CUST-0015,PROD-0029,West,28.98,3,0.15,1.88
ORD-00008,2024-06-08,2024-06-12,CUST-0094,PROD-0026,South,43.83,2,0.1,4.82
ORD-00009,2022-01-04,2022-01-10,CUST-0119,PROD-0026,South,112.69,4,0.05,17.47
ORD-00010,2023-10-05,2023-10-12,CUST-0109,PROD-0004,East,1791.22,5,0.15,331.38
ORD-00011,2023-08-29,2023-09-04,CUST-0017,PROD-0007,South,4670.2,7,0,1494.46
ORD-00012,2024-04-11,2024-04-17,CUST-0107,PROD-0001,South,2105.36,4,0.05,578.97
ORD-00013,2024-06-23,2024-06-28,CUST-0087,PROD-0007,South,2145.28,3,0.1,493.41
ORD-00014,2023-11-18,2023-11-20,CUST-0105,PROD-0025,North,58.36,5,0,11.67
ORD-00015,2024-08-31,2024-09-06,CUST-0109,PROD-0025,North,393.41,7,0.1,43.28
ORD-00016,2024-10-09,2024-10-14,CUST-0032,PROD-0005,East,799.92,1,0.05,219.98
ORD-00017,2023-03-25,2023-03-28,CUST-0103,PROD-0023,South,12.26,1,0,2.45
ORD-00018,2024-08-09,2024-08-16,CUST-0068,PROD-0018,East,2590.02,8,0.4,-621.6
ORD-00019,2024-07-02,2024-07-05,CUST-0096,PROD-0028,South,110.26,5,0.15,7.17
ORD-00020,2024-09-19,2024-09-26,CUST-0031,PROD-0009,South,1743.98,5,0,558.07
ORD-00021,2022-10-11,2022-10-14,CUST-0030,PROD-0013,East,649.11,4,0.3,-97.37
ORD-00022,2022-05-08,2022-05-11,CUST-0107,PROD-0014,South,490.86,1,0,58.9
ORD-00023,2023-12-22,2023-12-26,CUST-0097,PROD-0013,West,5344.07,7,0.1,160.32
ORD-00024,2024-09-26,2024-09-29,CUST-0035,PROD-0014,South,3991.98,7,0.1,119.76
ORD-00025,2024-08-15,2024-08-18,CUST-0080,PROD-0018,North,3329.55,7,0.3,-499.43
ORD-00026,2022-10-05,2022-10-10,CUST-0024,PROD-0002,North,1412.78,6,0.05,388.51
ORD-00027,2023-07-24,2023-07-29,CUST-0033,PROD-0027,North,65.96,1,0,13.19
ORD-00028,2022-05-21,2022-05-28,CUST-0006,PROD-0025,North,52.32,4,0,10.46
ORD-00029,2024-08-27,2024-09-03,CUST-0015,PROD-0019,West,3225.57,8,0.4,-774.14
ORD-00030,2022-08-23,2022-08-26,CUST-0040,PROD-0004,East,1695.46,5,0.15,313.66
ORD-00031,2023-02-11,2023-02-13,CUST-0076,PROD-0023,West,140.8,4,0.15,9.15
ORD-00032,2022-09-05,2022-09-11,CUST-0101,PROD-0002,South,3888.74,7,0,1244.4
ORD-00033,2024-05-10,2024-05-15,CUST-0014,PROD-0014,West,1652.91,8,0.5,-545.46
ORD-00034,2023-07-08,2023-07-14,CUST-0104,PROD-0030,South,299.94,8,0.05,46.49
ORD-00035,2023-05-18,2023-05-20,CUST-0036,PROD-0029,South,177.67,8,0.1,19.54
ORD-00036,2023-10-28,2023-10-31,CUST-0063,PROD-0007,South,1885.16,5,0,603.25
ORD-00037,2022-01-21,2022-01-27,CUST-0025,PROD-0003,North,2236.34,7,0.15,413.72
ORD-00038,2024-10-02,2024-10-07,CUST-0102,PROD-0001,North,2309.95,4,0,739.18
ORD-00039,2024-08-27,2024-09-02,CUST-0068,PROD-0012,South,2832.17,6,0,906.29
ORD-00040,2022-09-05,2022-09-12,CUST-0025,PROD-0011,North,625.67,3,0.1,143.9
ORD-00041,2024-12-10,2024-12-16,CUST-0037,PROD-0004,West,2341.25,5,0.1,538.49
ORD-00042,2022-09-17,2022-09-21,CUST-0006,PROD-0002,South,1614.67,3,0,516.69
ORD-00043,2023-08-06,2023-08-11,CUST-0062,PROD-0015,South,642.08,1,0,77.05
ORD-00044,2024-03-31,2024-04-05,CUST-0010,PROD-0019,East,600.56,1,0,72.07
ORD-00045,2023-05-24,2023-05-26,CUST-0072,PROD-0025,South,219.32,4,0.05,33.99
ORD-00046,2024-05-28,2024-06-01,CUST-0073,PROD-0020,North,270.76,2,0.5,-89.35
ORD-00047,2022-06-16,2022-06-19,CUST-0031,PROD-0006,South,220.07,3,0,70.42
ORD-00048,2022-03-08,2022-03-11,CUST-0037,PROD-0023,North,129.95,8,0.15,8.45
ORD-00049,2023-02-10,2023-02-15,CUST-0015,PROD-0018,North,1463.19,3,0.1,43.9
ORD-00050,2023-09-22,2023-09-28,CUST-0096,PROD-0027,South,102.65,5,0.1,11.29
ORD-00051,2023-07-12,2023-07-18,CUST-0070,PROD-0016,South,556.61,1,0,66.79
ORD-00052,2022-07-07,2022-07-10,CUST-0087,PROD-0027,West,16.85,1,0,3.37
ORD-00053,2022-12-25,2022-12-30,CUST-0067,PROD-0021,South,2172.19,5,0.3,-325.83
ORD-00054,2022-07-06,2022-07-11,CUST-0045,PROD-0014,South,387.09,2,0.2,-23.23
ORD-00055,2024-03-31,2024-04-06,CUST-0005,PROD-0015,North,2865.98,5,0.4,-687.84
ORD-00056,2022-01-03,2022-01-10,CUST-0112,PROD-0018,South,104.08,1,0.5,-34.35
ORD-00057,2024-06-24,2024-06-26,CUST-0027,PROD-0009,South,2391.42,5,0.15,442.41
ORD-00058,2023-05-06,2023-05-13,CUST-0021,PROD-0010,South,1092.28,7,0.05,300.38
ORD-00059,2022-08-29,2022-09-05,CUST-0107,PROD-0005,South,2108.14,5,0.05,579.74
ORD-00060,2023-05-15,2023-05-20,CUST-0071,PROD-0005,South,2359.59,3,0.05,648.89
ORD-00061,2023-11-28,2023-12-04,CUST-0035,PROD-0027,North,379.93,5,0,75.99
ORD-00062,2024-07-03,2024-07-09,CUST-0062,PROD-0012,South,3455.66,7,0.15,639.3
ORD-00063,2023-05-05,2023-05-11,CUST-0050,PROD-0008,West,770.01,7,0.05,211.75
ORD-00064,2024-03-01,2024-03-08,CUST-0102,PROD-0027,East,86.27,3,0.15,5.61
ORD-00065,2023-11-11,2023-11-13,CUST-0112,PROD-0028,South,710.99,8,0,142.2
ORD-00066,2022-06-03,2022-06-08,CUST-0101,PROD-0009,South,3445.99,7,0.1,792.58
ORD-00067,2024-02-18,2024-02-22,CUST-0081,PROD-0023,West,65.0,8,0.05,10.07
ORD-00068,2023-04-11,2023-04-18,CUST-0012,PROD-0014,West,1008.32,2,0,121.0
